state_name,X_STATE,IYEAR,n_obs,n_disabled,pct_disabled,n_lackAccess,pct_lackAccess,n_hlthNeed,pct_hlthNeed,n_unmetNeed,pct_unmetNeed,n_DisUnmetNeed,pct_DisUnmetNeed,Population,Poverty Rate,Unemployment rate,Personal income,State Minimum Wage,Marginally Food Insecure,Food Insecure,Very Low Food Secure,Food Stamp/SNAP Recipients,SSI recipients,Medicaid beneficiaries,WIC participation,SBP Total Participation,Fraction of the Year ACA Expansion
ME,23,2017,9692,250406.4961486065,0.23873597386947176,260127.35809662146,0.24129344192977964,648585.4281527358,0.9846922893993789,150292.9117865379,0.2325696086967173,62393.9494995066,0.27724283903259367,1334612,12,3.4,62145800,9,20.66081,11.29555,5.16851,179734,37303,259420,19364,50073,0
ME,23,2018,10969,304404.6507093932,0.2874067142642793,277903.97018422314,0.25735902134824545,667530.2871602204,0.9836704154005663,170649.15977867926,0.25791870853888194,84049.38766226739,0.3124262011482714,1339057,11.6,3.2,65335200,10,22.70918,13.94904,5.39193,167858,36875,255517,18320,50400,0
ME,23,2019,11371,340100.1318343998,0.3193763694413641,285770.02084372105,0.2641933473113107,677028.0536330186,0.9845047454153847,181484.27348809756,0.26992961675825405,89865.14515173835,0.3041250390698507,1344212,10.4,3,68062400,12,21.19787,11.52817,5.57206,144433,36610,270006,17476,52185,0.97260274
ME,23,2020,11018,308928.47910632304,0.2925155147470648,256990.0064534069,0.23526571182294456,635822.48754757,0.9880200094409176,140101.01427632212,0.22254836084578034,63643.23919458838,0.24673116420608238,1364571,8,5.1,74137000,12,17.02978,9.35699,2.79826,159995,35988,306263,16643,35703,1
ME,23,2021,11803,340526.75164109137,0.31342083052624414,188033.1111836842,0.17417347191693397,682967.4242786024,0.9874048545529136,107567.9798181331,0.16341534841021124,49517.80608000019,0.17871059981964688,1378931,9.1,4.8,81887100,12.15,10.73633,6.76619,3.15204,157595,34894,348349,16808,6164,1
ME,23,2022,10643,360888.57259238645,0.32713094733703046,174334.29292465982,0.1595276488375883,719279.8537354965,0.9880358252045894,109671.29665296803,0.15643534770071119,56988.01288571966,0.18623646994276302,1390922,9.6,2.9,85704200,12.75,18.35077,13.59352,5.21748,162159,34095,378421,16927,62321,1
ME,23,2023,12254,357606.6456013729,0.32588661946873765,200006.91675291018,0.1829638335570065,751918.0942599245,0.990658182127973,125846.04375079228,0.17478592208857635,62017.935308496635,0.20350486646991311,1399646,7.4,2.6,91602300,13.8,20.90622,13.06964,3.45375,167768,33050,411101,17936,67684,1
ME,23,2024,12149,352452.02946900646,0.31797444174855055,208224.58480158812,0.18609790746019195,774973.8289785816,0.9919093976772431,136528.0308965633,0.18334737176272378,65722.93248377026,0.21914225745474883,1405012,7.3,3.1,96850300,14.15,20.21426,12.83577,4.94392,172232,32233,395873,18212,71088,1
NA,23,2025,5,255.540154908719,0.49427200423047934,0,0,316.8981969371054,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MD,24,2017,13401,988546.4424994709,0.22397931421130848,1189853.224387173,0.2581004864326623,2491619.624962428,0.9772920717544683,604591.5483618437,0.24474622472069846,256263.3370916255,0.30188245292421456,6023868,7.8,4.2,365997500,8.75,17.64741,11.52729,5.61061,684282,122271,1213844,132843,271783,1
