X,state_abbr,X_STATE,IYEAR,n_obs,n_disabled,pct_disabled,n_lackAccess,pct_lackAccess,n_hlthNeed,pct_hlthNeed,n_unmetNeed,pct_unmetNeed,n_DisUnmetNeed,pct_DisUnmetNeed,Population,Poverty_Rate,Unemployment_rate,Personal_income,State_Minimum_Wage,Marginally_Food_Insecure,Food_Insecure,Very_Low_Food_Secure,Food_Stamp_Recipients,SSI_recipients,Medicaid_beneficiaries,WIC_participation,SBP_Total_Participation,Medicaid_expansion,state_name
256,NM,35,2024,3341,520890.752687049,0.333467299930479,587292.973223432,0.369629023050987,1015012.61262115,0.993403481052775,304993.92391709,0.310317525145492,126094.937411207,0.291914859014976,2130256,14.2,4.1,124086200,12,23.89019,15.83793,6.73672,451320,55120,877577,40797,140908,1,new mexico
257,NY,36,2017,12243,3421327.73096339,0.233517410356361,4462894.18169753,0.288898935291068,8080363.92582625,0.985785844460313,2086120.59942362,0.260536590070903,815237.514283553,0.282615537594405,19589572,13.4,4.7,1289263200,9.7,20.53463,11.63749,3.56464,2910894,638132,6118975,435382,759450,1,new york
258,NY,36,2018,35365,3810259.57568844,0.26055002588689,4818913.52077406,0.315941540030269,8201841.21253071,0.978674019462353,2352182.67730465,0.291248582207721,937996.86948224,0.300856351749115,19530351,11.1,4.1,1340903300,10.4,19.83956,10.78568,3.62182,2796620,629203,6156398,416173,773225,1,new york
259,NY,36,2019,14581,3774053.70377731,0.263125423865502,4909218.05340923,0.320416671316876,8211499.37064695,0.976616346516962,2337972.64888663,0.288726399763254,1003925.20497595,0.3214309675844,19453561,12.5,4,1395147500,11.8,18.45454,11.60524,3.54072,2661700,621783,6067467,378946,794814,1,new york
260,NY,36,2020,14724,3265950.17215225,0.230462729362977,4542447.67635545,0.300630244693542,7803767.56129141,0.980636144264017,2043139.19702806,0.265552041215411,763311.908553654,0.287989118128489,20105171,11.8,9.8,1415644900,11.8,17.32421,11.51275,3.079,2658439,602210,6358951,362993,659803,1,new york
261,NY,36,2021,37048,3705640.82143636,0.267464394843643,3048936.50483324,0.215133852518969,8245676.00431848,0.983904920180801,1468440.27126535,0.188702088145568,633063.648009398,0.218738327443592,19848276,12.5,7.1,1515619300,12.5,17.54659,9.64355,3.50022,2780714,583874,7048191,368266,179666,1,new york
262,NY,36,2022,19396,4044407.70196722,0.278418032491781,3859587.0463086,0.253359746686223,9147139.17013288,0.986027574174921,2055542.27632093,0.239089477584395,892380.4802737,0.285840332157874,19703747,12.7,4.3,1526280600,13.2,21.00623,13.98689,4.92885,2839326,573058,7488986,387415,896581,1,new york
263,NY,36,2023,17395,3990326.32991252,0.271426464400879,3268928.54313421,0.222163789329832,8921942.55115799,0.98436963078684,1800952.40500898,0.217055924626962,829205.361949576,0.272094576645501,19737367,11,4.1,1617130900,14.2,22.14498,13.83698,4.51854,2886163,562755,7983170,416219,798991,1,new york
264,NY,36,2024,41261,3856398.87461659,0.276371236154048,3379924.3216528,0.240953896348095,8492219.94904274,0.988532868666275,1828439.04671025,0.229001363377243,845641.227771234,0.27646753941096,19867248,11,4.3,1699680000,15,23.02214,16.09914,6.34616,2926213,559827,6985692,437619,876598,1,new york
265,NC,37,2017,4695,2059097.72483825,0.278758952969741,2713589.20675929,0.357065521729535,4170282.38238865,0.987792665647543,1444028.62646825,0.348531614496967,640448.105543725,0.37199611990237,10268233,14.5,4.5,455997100,7.25,24.53306,15.68803,5.38922,1453827,232314,2087218,230660,464599,0,north carolina
266,NC,37,2018,4491,2167138.58445216,0.286084573058387,2761574.98241329,0.353469760344023,4495667.85610999,0.97868198872375,1535525.24120681,0.343607632151042,724244.45699243,0.383144300237004,10381615,13.1,4,479791800,7.25,22.1437,13.46512,4.40341,1344485,228762,2159762,221719,456289,0,north carolina
267,NC,37,2019,4518,2610064.2945685,0.320674642104655,2929579.83118897,0.350788370500275,4830426.94254585,0.980253866472284,1633768.88375527,0.339770049486239,853130.843569842,0.378891805200613,10488084,12.7,3.9,500973800,7.25,23.02476,12.61758,3.41848,1228424,228433,2112241,207351,455308,0,north carolina
